student_name,student_id,cgpa,internals,attendance,Fees_Amount_Due,financial_default,financial_default_encoded,financial_risk,attendance_risk,internals_risk,cgpa_risk,final_risk_score,risk_category,counselling_suggestions,financial_aid_suggestion,mentor_name
Pooja Saxena,STU015,8.7,0.0,38.0,88391.0,large,4.0,8,9,0,0,6.3,Medium Risk,Develop a financial plan; Focus on improving academic performance; Address attendance issues.,Urgent: Connect with financial aid office for grants/emergency funds.,Tanya Bhatia
Kunal Desai,STU016,6.3,3.0,99.0,0.0,none,0.0,0,0,8,4,1.6,Low Risk,Improve study habits to boost CGPA; Seek counseling to address internal factors; Explore volunteer opportunities.,No immediate action needed.,Vikram Singh
Payal Iyer,STU017,8.5,1.0,97.0,0.0,none,0.0,0,0,2,0,0.3,Low Risk,Focus on academic improvement; Address internal concerns through counseling; Explore academic clubs.,No immediate action needed.,Manish Joshi
Payal Rao,STU018,4.3,0.0,80.0,41898.0,small,2.0,3,0,0,8,2.1500000000000004,Low Risk,Focus on maintaining high CGPA; Explore extracurricular activities to enhance application; Consider tutoring.,No immediate action needed.,Rohan Mehta
Siddharth Iyer,STU019,5.5,6.0,84.0,44077.0,small,2.0,3,0,8,6,3.15,Low Risk,Address internal issues through counseling; Improve study habits for higher CGPA; Maintain perfect attendance.,No immediate action needed.,Nikita Iyer
Vivek Kulkarni,STU020,9.1,3.0,38.0,35000.0,very_small,1.0,1,9,8,0,4.35,Medium Risk,Develop a financial plan; Improve academic performance; Address attendance and internal issues.,No immediate action needed.,Pooja Menon
Nikhil Bose,STU021,5.5,2.0,37.0,109401.0,very_large,5.0,10,9,6,6,8.7,High Risk,Create a budget and explore financial aid options; Improve study habits; Address internal issues and attendance.,Urgent: Connect with financial aid office for grants/emergency funds.,Nikita Iyer
Ritika Reddy,STU022,6.3,5.0,85.0,2914.0,very_small,1.0,1,0,8,4,2.05,Low Risk,Improve study skills for higher CGPA; Address internal factors through counseling; Explore leadership roles.,No immediate action needed.,Ananya Gupta
Kiran Choudhary,STU023,8.0,1.0,95.0,5379.0,very_small,1.0,1,0,2,2,0.95,Low Risk,Improve study skills and focus on academics; Seek counseling if needed; Explore extracurricular activities.,No immediate action needed.,Kunal Verma
Dev Saxena,STU024,8.4,6.0,98.0,0.0,none,0.0,0,0,8,0,1.2,Low Risk,Focus on improving CGPA; Address internal factors through therapy; Explore extracurricular opportunities.,No immediate action needed.,Manish Joshi
Meera Nair,STU025,6.2,4.0,92.0,86134.0,large,4.0,8,0,8,4,5.2,Medium Risk,Develop a financial plan; Improve study skills; Address internal issues through counseling.,Urgent: Connect with financial aid office for grants/emergency funds.,Ananya Gupta
Alok Malhotra,STU026,8.2,5.0,59.0,9091.0,very_small,1.0,1,7,8,0,3.75,Low Risk,Improve academic performance; Address attendance and internal issues through therapy; Explore financial aid.,No immediate action needed.,Siddharth Jain
Harsh Malhotra,STU027,6.1,3.0,89.0,0.0,none,0.0,0,0,8,4,1.6,Low Risk,Improve study skills for higher CGPA; Address internal issues through counseling; Explore community involvement.,No immediate action needed.,Neha Choudhary
Tanya Singh,STU028,4.1,5.0,56.0,140884.0,very_large,5.0,10,7,8,8,8.6,High Risk,Develop a financial plan; Maintain strong academic performance; Address attendance and internal issues.,Urgent: Connect with financial aid office for grants/emergency funds.,Sanya Khanna
Kabir Agarwal,STU029,3.7,2.0,40.0,140366.0,very_large,5.0,10,9,6,8,8.9,High Risk,Create a financial plan and explore financial aid; Maintain high CGPA; Address attendance issues.,Urgent: Connect with financial aid office for grants/emergency funds.,Vikram Singh
Neha Nair,STU030,6.1,3.0,49.0,0.0,none,0.0,0,9,8,4,4.3,Medium Risk,Improve study skills for higher CGPA; Address internal issues and attendance.,No immediate action needed.,Aditya Rao
Abhay Bhat,STU031,3.2,5.0,53.0,126784.0,very_large,5.0,10,7,8,8,8.6,High Risk,Develop a financial plan and explore financial aid; Maintain strong academic performance; Address internal issues and attendance.,Urgent: Connect with financial aid office for grants/emergency funds.,Kunal Verma
Abhay Reddy,STU032,4.2,5.0,36.0,147855.0,very_large,5.0,10,9,8,8,9.2,High Risk,Develop a financial plan; Maintain high CGPA; Address attendance issues.,Urgent: Connect with financial aid office for grants/emergency funds.,Ananya Gupta
Rahul Dutta,STU033,5.6,2.0,37.0,70491.0,medium,3.0,6,9,6,6,6.9,Medium Risk,Create a budget; Improve study habits; Address attendance and internal issues.,Action: Discuss fee installment plans or work-study options.,Priya Nair
Rahul Trivedi,STU034,8.8,6.0,37.0,0.0,none,0.0,0,9,8,0,3.8999999999999995,Low Risk,Improve academic performance; Address internal issues and attendance challenges through therapy; Explore financial aid.,No immediate action needed.,Rahul Kapoor
Priya Choudhary,STU035,8.4,1.0,69.0,33123.0,very_small,1.0,1,4,2,0,1.95,Low Risk,Improve academic performance; Address internal concerns; Improve attendance.,No immediate action needed.,Vikram Singh
Ritika Banerjee,STU036,5.3,2.0,58.0,0.0,none,0.0,0,7,6,6,3.6,Low Risk,Focus on improving CGPA; Address internal issues through counseling; Improve attendance.,No immediate action needed.,Ananya Gupta
Sneha Chopra,STU037,3.5,0.0,67.0,0.0,none,0.0,0,4,0,8,2.0,Low Risk,Maintain high CGPA; Improve attendance; Explore extracurricular activities.,No immediate action needed.,Isha Patel
Harsh Bhat,STU038,7.6,3.0,43.0,0.0,none,0.0,0,9,8,2,4.1,Medium Risk,Improve academic performance; Address internal issues and attendance.,No immediate action needed.,Tanya Bhatia
Anjali Sharma,STU039,6.4,0.0,51.0,11186.0,very_small,1.0,1,7,0,4,2.95,Low Risk,Improve study skills; Address attendance issues; Explore extracurricular activities.,No immediate action needed.,Siddharth Jain
Nisha Bose,STU040,6.0,0.0,83.0,46110.0,small,2.0,3,0,0,6,1.9500000000000002,Low Risk,Maintain strong academic performance; Explore extracurricular activities; Consider tutoring.,No immediate action needed.,Neha Choudhary
Abhay Saxena,STU041,6.4,6.0,44.0,0.0,none,0.0,0,9,8,4,4.3,Medium Risk,Improve study habits; Address internal issues and attendance.,No immediate action needed.,Neha Choudhary
Amit Pillai,STU042,7.0,4.0,80.0,2624.0,very_small,1.0,1,0,8,4,2.05,Low Risk,Improve study skills; Address internal factors through counseling; Explore volunteer opportunities.,No immediate action needed.,Priya Nair
Meera Pillai,STU043,4.8,5.0,54.0,35142.0,very_small,1.0,1,7,8,8,4.55,Medium Risk,Focus on maintaining high CGPA; Address internal issues; Improve attendance.,No immediate action needed.,Manish Joshi
Raj Choudhary,STU044,3.8,3.0,80.0,116296.0,very_large,5.0,10,0,8,8,6.5,Medium Risk,Develop a financial plan; Maintain strong academic performance; Address internal issues.,Urgent: Connect with financial aid office for grants/emergency funds.,Pooja Menon
Ravi Chopra,STU045,7.8,3.0,86.0,89181.0,large,4.0,8,0,8,2,5.0,Medium Risk,Develop a financial plan; Improve study habits; Address internal issues through counseling.,Urgent: Connect with financial aid office for grants/emergency funds.,Dev Patel
Rohan Joshi,STU046,5.2,6.0,45.0,127180.0,very_large,5.0,10,9,8,6,8.999999999999998,High Risk,Create a budget and explore financial aid; Improve study habits; Address attendance and internal issues.,Urgent: Connect with financial aid office for grants/emergency funds.,Meera Desai
Maya Reddy,STU047,8.0,5.0,69.0,0.0,none,0.0,0,4,8,2,2.6,Low Risk,Improve study habits; Address internal issues through counseling; Improve attendance.,No immediate action needed.,Aarav Sharma
Kunal Rao,STU048,7.9,5.0,66.0,44296.0,small,2.0,3,4,8,2,3.95,Low Risk,Develop a financial plan; Improve study skills; Address internal issues and attendance.,No immediate action needed.,Siddharth Jain
Ritu Choudhary,STU049,5.6,2.0,95.0,0.0,none,0.0,0,0,6,6,1.5,Low Risk,Focus on improving CGPA; Address internal factors; Explore extracurricular activities.,No immediate action needed.,Neha Choudhary
Ishita Khanna,STU050,5.1,3.0,67.0,0.0,none,0.0,0,4,8,6,3.0,Low Risk,Improve study habits; Address internal issues; Improve attendance.,No immediate action needed.,Simran Kaur
Maya Das,STU051,8.4,4.0,80.0,13855.0,very_small,1.0,1,0,8,0,1.65,Low Risk,Improve academic performance; Address internal issues; Explore financial aid.,No immediate action needed.,Rahul Kapoor
Gaurav Gupta,STU052,8.9,1.0,53.0,46899.0,small,2.0,3,7,2,0,3.75,Low Risk,Address internal concerns; Improve attendance; Explore academic clubs.,No immediate action needed.,Aditya Rao
Kunal Bose,STU053,6.0,5.0,64.0,141367.0,very_large,5.0,10,7,8,6,8.4,High Risk,Develop a financial plan; Maintain strong academic performance; Address attendance and internal issues.,Urgent: Connect with financial aid office for grants/emergency funds.,Manish Joshi
Sameer Joshi,STU054,3.2,6.0,50.0,76875.0,medium,3.0,6,7,8,8,6.800000000000001,Medium Risk,Maintain strong academic performance; Address internal issues and attendance.,Action: Discuss fee installment plans or work-study options.,Rahul Kapoor
Alok Das,STU055,6.0,3.0,53.0,40897.0,small,2.0,3,7,8,6,5.25,Medium Risk,Address internal issues; Improve study habits; Improve attendance.,No immediate action needed.,Meera Desai
Siddharth Gupta,STU056,7.3,4.0,84.0,0.0,none,0.0,0,0,8,2,1.4,Low Risk,Improve study habits; Address internal factors; Explore extracurricular activities.,No immediate action needed.,Pooja Menon
Alok Dutta,STU057,7.4,0.0,49.0,75266.0,medium,3.0,6,9,0,2,5.6000000000000005,Medium Risk,Develop a financial plan; Improve study habits; Address attendance issues.,Action: Discuss fee installment plans or work-study options.,Sanya Khanna
Nisha Choudhary,STU058,3.3,2.0,82.0,0.0,none,0.0,0,0,6,8,1.7,Low Risk,Maintain high CGPA; Address internal factors; Explore leadership roles.,No immediate action needed.,Dev Patel
Kabir Mishra,STU059,6.2,5.0,79.0,60981.0,medium,3.0,6,0,8,4,4.300000000000001,Medium Risk,Develop a financial plan; Improve study habits; Address internal factors.,Action: Discuss fee installment plans or work-study options.,Sanya Khanna
Kunal Choudhary,STU060,4.8,0.0,65.0,100305.0,very_large,5.0,10,7,0,8,7.3999999999999995,High Risk,Develop a financial plan; Maintain strong academic performance; Address attendance issues.,Urgent: Connect with financial aid office for grants/emergency funds.,Rahul Kapoor
Suresh Pillai,STU061,6.0,1.0,44.0,34128.0,very_small,1.0,1,9,2,6,4.05,Medium Risk,Develop a financial plan; Improve study habits; Address attendance issues.,No immediate action needed.,Arjun Malhotra
Divya Saxena,STU062,6.1,1.0,42.0,124539.0,very_large,5.0,10,9,2,4,7.8999999999999995,High Risk,Develop a financial plan and seek financial aid; Improve academic performance; Address attendance issues.,Urgent: Connect with financial aid office for grants/emergency funds.,Aditya Rao
Nisha Mehta,STU063,6.1,4.0,37.0,0.0,none,0.0,0,9,8,4,4.3,Medium Risk,Improve study skills; Address internal issues and attendance.,No immediate action needed.,Rahul Kapoor
Kabir Saxena,STU064,3.1,0.0,89.0,26044.0,very_small,1.0,1,0,0,8,1.25,Low Risk,Maintain high CGPA; Explore extracurricular activities; Consider tutoring.,No immediate action needed.,Kunal Verma
Manav Ganguly,STU065,3.0,2.0,82.0,0.0,none,0.0,0,0,6,8,1.7,Low Risk,Maintain high CGPA; Address internal factors; Explore extracurricular activities.,No immediate action needed.,Isha Patel
Ishita Ganguly,STU066,6.3,0.0,64.0,98502.0,large,4.0,8,7,0,4,6.1000000000000005,Medium Risk,Develop a financial plan; Improve study habits; Address attendance issues.,Urgent: Connect with financial aid office for grants/emergency funds.,Meera Desai
Kunal Singh,STU067,5.9,2.0,77.0,105480.0,very_large,5.0,10,0,6,6,6.0,Medium Risk,Develop a financial plan; Maintain strong academic performance; Address internal factors.,Urgent: Connect with financial aid office for grants/emergency funds.,Vikram Singh
Rekha Rao,STU068,4.2,4.0,100.0,24865.0,very_small,1.0,1,0,8,8,2.45,Low Risk,Maintain high CGPA; Address internal issues; Explore leadership opportunities.,No immediate action needed.,Rahul Kapoor
Simran Bhat,STU069,3.8,0.0,40.0,0.0,none,0.0,0,9,0,8,3.5,Low Risk,Maintain high CGPA; Address attendance issues; Explore extracurricular activities.,No immediate action needed.,Ananya Gupta
Sanya Singh,STU070,8.3,4.0,89.0,0.0,none,0.0,0,0,8,0,1.2,Low Risk,Improve academic performance; Address internal issues; Explore academic clubs.,No immediate action needed.,Aditya Rao
Neha Reddy,STU071,9.1,1.0,36.0,0.0,none,0.0,0,9,2,0,2.9999999999999996,Low Risk,Improve academic performance; Address attendance issues; Explore extracurricular activities.,No immediate action needed.,Simran Kaur
Nisha Malhotra,STU072,6.4,1.0,100.0,67580.0,medium,3.0,6,0,2,4,3.4,Low Risk,Develop a financial plan; Improve study habits; Explore extracurricular activities.,Action: Discuss fee installment plans or work-study options.,Rahul Kapoor
Deepak Kulkarni,STU073,7.5,5.0,98.0,0.0,none,0.0,0,0,8,2,1.4,Low Risk,Improve study habits; Address internal factors; Explore extracurricular activities.,No immediate action needed.,Aditya Rao
Vikas Desai,STU074,4.1,1.0,65.0,0.0,none,0.0,0,7,2,8,3.2,Low Risk,Maintain high CGPA; Address attendance issues; Explore extracurricular activities.,No immediate action needed.,Sanya Khanna
Ishita Saxena,STU075,4.7,5.0,56.0,46474.0,small,2.0,3,7,8,8,5.45,Medium Risk,Maintain strong academic performance; Address internal issues and attendance.,No immediate action needed.,Rohan Mehta
Jyoti Pillai,STU076,7.9,4.0,48.0,0.0,none,0.0,0,9,8,2,4.1,Medium Risk,Improve study habits; Address internal issues and attendance.,No immediate action needed.,Isha Patel
Sanya Patel,STU077,4.0,1.0,49.0,53941.0,small,2.0,3,9,2,8,5.1499999999999995,Medium Risk,Develop a financial plan; Maintain high CGPA; Address attendance issues.,No immediate action needed.,Aarav Sharma
Aarti Rao,STU078,7.0,6.0,43.0,34563.0,very_small,1.0,1,9,8,4,4.75,Medium Risk,Improve study habits; Address internal issues and attendance.,No immediate action needed.,Tanya Bhatia
Dev Agarwal,STU079,9.0,2.0,92.0,75507.0,medium,3.0,6,0,6,0,3.6,Low Risk,Develop a financial plan; Improve academic performance; Address internal factors.,Action: Discuss fee installment plans or work-study options.,Aarav Sharma
Alok Verma,STU080,5.9,5.0,50.0,137762.0,very_large,5.0,10,7,8,6,8.4,High Risk,Develop a financial plan; Maintain strong academic performance; Address attendance and internal issues.,Urgent: Connect with financial aid office for grants/emergency funds.,Aarav Sharma
Sneha Dutta,STU081,4.4,3.0,91.0,93658.0,large,4.0,8,0,8,8,5.6,Medium Risk,Maintain strong academic performance; Address internal issues; Explore leadership opportunities.,Urgent: Connect with financial aid office for grants/emergency funds.,Siddharth Jain
Nisha Patel,STU082,8.2,5.0,48.0,132355.0,very_large,5.0,10,9,8,0,8.399999999999999,High Risk,Develop a financial plan and seek financial aid; Improve academic performance; Address attendance issues.,Urgent: Connect with financial aid office for grants/emergency funds.,Siddharth Jain
Vikas Iyer,STU083,4.8,1.0,69.0,112670.0,very_large,5.0,10,4,2,8,6.8,Medium Risk,Develop a financial plan; Maintain strong academic performance; Address attendance issues.,Urgent: Connect with financial aid office for grants/emergency funds.,Neha Choudhary
Aarav Trivedi,STU084,3.4,4.0,37.0,103957.0,very_large,5.0,10,9,8,8,9.2,High Risk,Develop a financial plan; Maintain high CGPA; Address attendance and internal issues.,Urgent: Connect with financial aid office for grants/emergency funds.,Manish Joshi
Neha Kulkarni,STU085,7.3,2.0,75.0,55656.0,small,2.0,3,4,6,2,3.65,Low Risk,Develop a financial plan; Improve study habits; Address internal factors and attendance.,No immediate action needed.,Pooja Menon
Meera Bhat,STU086,8.2,3.0,71.0,50179.0,small,2.0,3,4,8,0,3.75,Low Risk,Develop a financial plan; Improve academic performance; Address internal issues and attendance.,No immediate action needed.,Simran Kaur
Alok Kulkarni,STU087,6.8,2.0,62.0,0.0,none,0.0,0,7,6,4,3.4,Low Risk,Improve study habits; Address internal factors; Improve attendance.,No immediate action needed.,Nikita Iyer
Ritika Bhat,STU088,4.7,6.0,86.0,111497.0,very_large,5.0,10,0,8,8,6.5,Medium Risk,Develop a financial plan; Maintain strong academic performance; Address internal issues.,Urgent: Connect with financial aid office for grants/emergency funds.,Nikita Iyer
Simran Verma,STU089,7.6,2.0,93.0,60468.0,medium,3.0,6,0,6,2,3.8000000000000003,Low Risk,Develop a financial plan; Improve study habits; Explore extracurricular activities.,Action: Discuss fee installment plans or work-study options.,Aditya Rao
Dev Bose,STU090,7.6,5.0,62.0,0.0,none,0.0,0,7,8,2,3.5,Low Risk,Improve study habits; Address internal factors; Improve attendance.,No immediate action needed.,Rahul Kapoor
Kabir Reddy,STU091,3.4,1.0,52.0,111932.0,very_large,5.0,10,7,2,8,7.699999999999999,High Risk,Develop a financial plan; Maintain strong academic performance; Address attendance issues.,Urgent: Connect with financial aid office for grants/emergency funds.,Meera Desai
Vivek Das,STU092,4.4,5.0,40.0,0.0,none,0.0,0,9,8,8,4.699999999999999,Medium Risk,Maintain high CGPA; Address internal issues and attendance.,No immediate action needed.,Arjun Malhotra
Tanya Gupta,STU093,4.5,5.0,51.0,115658.0,very_large,5.0,10,7,8,8,8.6,High Risk,Develop a financial plan; Maintain strong academic performance; Address attendance and internal issues.,Urgent: Connect with financial aid office for grants/emergency funds.,Sanya Khanna
Kabir Banerjee,STU094,8.3,3.0,50.0,136378.0,very_large,5.0,10,7,8,0,7.8,High Risk,Develop a financial plan and seek financial aid; Improve academic performance; Address attendance and internal issues.,Urgent: Connect with financial aid office for grants/emergency funds.,Vikram Singh
Siddharth Choudhary,STU095,8.0,6.0,71.0,66518.0,medium,3.0,6,4,8,2,5.300000000000001,Medium Risk,Develop a financial plan; Improve study habits; Address internal factors and attendance.,Action: Discuss fee installment plans or work-study options.,Simran Kaur
Shreya Trivedi,STU096,3.5,1.0,51.0,57197.0,small,2.0,3,7,2,8,4.55,Medium Risk,Maintain high CGPA; Address internal factors; Improve attendance.,No immediate action needed.,Dev Patel
Rahul Iyer,STU097,5.9,4.0,92.0,124017.0,very_large,5.0,10,0,8,6,6.300000000000001,Medium Risk,Develop a financial plan; Maintain strong academic performance; Address internal issues.,Urgent: Connect with financial aid office for grants/emergency funds.,Pooja Menon
Raj Bose,STU098,6.9,4.0,69.0,0.0,none,0.0,0,4,8,4,2.8,Low Risk,Improve study habits; Address internal factors; Improve attendance.,No immediate action needed.,Aarav Sharma
Tanya Kulkarni,STU099,6.2,4.0,62.0,67538.0,medium,3.0,6,7,8,4,6.400000000000001,Medium Risk,Develop a financial plan; Improve study habits; Address internal issues and attendance.,Action: Discuss fee installment plans or work-study options.,Manish Joshi
Kabir Menon,STU100,3.9,6.0,71.0,102034.0,very_large,5.0,10,4,8,8,7.7,High Risk,Develop a financial plan; Maintain strong academic performance; Address attendance issues.,Urgent: Connect with financial aid office for grants/emergency funds.,Tanya Bhatia
Divya Kulkarni,STU101,4.2,0.0,79.0,0.0,none,0.0,0,0,0,8,0.8,Low Risk,Focus on improving study techniques; Seek tutoring or academic support; Explore time management strategies.,No immediate action needed.,Siddharth Jain
Pooja Kulkarni,STU102,7.0,6.0,77.0,0.0,none,0.0,0,0,8,4,1.6,Low Risk,Address internal factors impacting performance; Seek counseling or mentoring; Develop better study habits and organization.,No immediate action needed.,Manish Joshi
Anjali Banerjee,STU103,8.3,5.0,38.0,109643.0,very_large,5.0,10,9,8,0,8.399999999999999,High Risk,Seek financial aid or scholarships immediately; Prioritize attendance; Develop coping mechanisms for internal stressors.,Urgent: Connect with financial aid office for grants/emergency funds.,Arjun Malhotra
Deepak Singh,STU104,8.9,2.0,37.0,101029.0,very_large,5.0,10,9,6,0,8.1,High Risk,Explore financial aid options; Improve attendance; Develop stress management techniques.,Urgent: Connect with financial aid office for grants/emergency funds.,Dev Patel
Kabir Verma,STU105,8.5,1.0,91.0,103270.0,very_large,5.0,10,0,2,0,4.8,Medium Risk,Secure financial assistance;  Seek academic advising;  Focus on time management for improved performance.,Urgent: Connect with financial aid office for grants/emergency funds.,Priya Nair
Arjun Reddy,STU106,8.9,2.0,98.0,29552.0,very_small,1.0,1,0,6,0,1.3499999999999999,Low Risk,Address internal factors impacting academic performance; Seek counseling; Develop effective study strategies.,No immediate action needed.,Arjun Malhotra
Ashwin Agarwal,STU107,6.9,1.0,61.0,143733.0,very_large,5.0,10,7,2,4,7.3,High Risk,Explore financial aid/scholarship opportunities; Improve study habits; Work on attendance issues.,Urgent: Connect with financial aid office for grants/emergency funds.,Rohan Mehta
Ravi Verma,STU108,3.8,4.0,79.0,43960.0,small,2.0,3,0,8,8,3.3499999999999996,Low Risk,Improve study skills and time management; Address internal challenges impacting academic success; Seek academic support.,No immediate action needed.,Rahul Kapoor
Anjali Malhotra,STU109,7.7,2.0,94.0,0.0,none,0.0,0,0,6,2,1.0999999999999999,Low Risk,Develop better study strategies; Seek academic support; Address internal challenges affecting academics.,No immediate action needed.,Aditya Rao
Abhay Rao,STU110,9.3,3.0,67.0,32187.0,very_small,1.0,1,4,8,0,2.8499999999999996,Low Risk,Address internal issues hindering performance; Improve attendance; Seek counseling or mentorship.,No immediate action needed.,Vikram Singh
Tanya Verma,STU111,8.3,0.0,68.0,52694.0,small,2.0,3,4,0,0,2.55,Low Risk,Improve attendance; Develop better time management skills; Explore academic support resources.,No immediate action needed.,Kunal Verma
Neha Sharma,STU112,4.1,5.0,85.0,148699.0,very_large,5.0,10,0,8,8,6.5,Medium Risk,Apply for financial aid/scholarships; Improve study skills; Manage internal stress effectively.,Urgent: Connect with financial aid office for grants/emergency funds.,Ananya Gupta
Aarti Pillai,STU113,5.3,4.0,98.0,111394.0,very_large,5.0,10,0,8,6,6.300000000000001,Medium Risk,Seek financial assistance; Improve study habits; Implement stress management techniques.,Urgent: Connect with financial aid office for grants/emergency funds.,Kunal Verma
Jyoti Bhat,STU114,8.2,1.0,92.0,48971.0,small,2.0,3,0,2,0,1.6500000000000001,Low Risk,Explore academic support options; Develop effective study habits; Build confidence in academic abilities.,No immediate action needed.,Rohan Mehta
Kabir Das,STU115,3.4,0.0,73.0,9886.0,very_small,1.0,1,4,0,8,2.45,Low Risk,Improve study skills; Address attendance issues; Utilize available academic support.,No immediate action needed.,Aarav Sharma
Rekha Choudhary,STU116,6.9,5.0,87.0,113419.0,very_large,5.0,10,0,8,4,6.1000000000000005,Medium Risk,Secure financial assistance; Improve study skills; Develop effective stress management strategies.,Urgent: Connect with financial aid office for grants/emergency funds.,Priya Nair
Kavya Kapoor,STU117,8.8,5.0,86.0,0.0,none,0.0,0,0,8,0,1.2,Low Risk,Address underlying internal factors affecting performance; Seek counseling; Explore stress reduction techniques.,No immediate action needed.,Tanya Bhatia
Ravi Reddy,STU118,9.3,0.0,81.0,65818.0,medium,3.0,6,0,0,0,2.7,Low Risk,Explore financial aid options; Seek academic support; Focus on strengthening study skills.,Action: Discuss fee installment plans or work-study options.,Siddharth Jain
Ishita Menon,STU119,6.6,5.0,65.0,18980.0,very_small,1.0,1,7,8,4,4.15,Medium Risk,Address internal challenges; Improve attendance; Develop effective time management strategies.,No immediate action needed.,Sanya Khanna
Ayesha Choudhary,STU120,4.4,6.0,67.0,119434.0,very_large,5.0,10,4,8,8,7.7,High Risk,Explore financial aid; Improve study habits; Address attendance and internal issues simultaneously.,Urgent: Connect with financial aid office for grants/emergency funds.,Isha Patel
Harsh Singh,STU121,3.5,3.0,49.0,60355.0,medium,3.0,6,9,8,8,7.4,High Risk,Address financial needs; Improve study skills; Prioritize attendance; manage internal and external stressors.,Action: Discuss fee installment plans or work-study options.,Priya Nair
Sneha Mehta,STU122,8.4,6.0,48.0,43131.0,small,2.0,3,9,8,0,5.25,Medium Risk,Seek financial aid; Improve attendance; Address internal issues hindering academic success.,No immediate action needed.,Aditya Rao
Ritu Dutta,STU123,5.3,4.0,70.0,0.0,none,0.0,0,4,8,6,3.0,Low Risk,Address internal challenges; improve study skills; work on attendance issues.,No immediate action needed.,Manish Joshi
Sanya Joshi,STU124,5.1,1.0,91.0,31806.0,very_small,1.0,1,0,2,6,1.35,Low Risk,Improve study skills and time management; Utilize academic resources;  Build confidence.,No immediate action needed.,Priya Nair
Pooja Patel,STU125,4.8,4.0,83.0,115979.0,very_large,5.0,10,0,8,8,6.5,Medium Risk,Apply for financial aid; Develop strong study strategies; Manage internal stress effectively.,Urgent: Connect with financial aid office for grants/emergency funds.,Rahul Kapoor
